event_id,customer_id,channel_type,action_performed,event_timestamp
EVT0000001,CUST003761,MOBILE_APP,INITIATE_TRANSFER,2026-03-14 18:58:15
EVT0000002,CUST002434,MOBILE APP,initiate_transfer,2026-07-18 20:50:51
EVT0000003,CUST001962,NET_BANKING,LOGOUT,08-02-2026 15:56
EVT0000004,CUST000563,net_banking, LOGOUT,2026-05-20 17:49:54
EVT0000005,CUST002978,Mobile_App,View_Balance,2026-05-13 06:21:23
EVT0000006,CUST002389,mobile_app,INITIATE_TRANSFER,19/02/2026 09:10:18
EVT0000007,CUST004429,NET BANKING,login,16/02/2026 03:38:01
EVT0000008,CUST001264,NET_BANKING, LOGOUT,2026-07-12 23:18:11
EVT0000009,CUST000400,Mobile_App,LOGIN ,2026-06-16 05:30:34
EVT0000010,CUST002362,Net_Banking,INITIATE_TRANSFER,2026-06-01 01:27:42
EVT0000011,CUST002083,net_banking,LOGIN ,2026-06-03 22:34:07
EVT0000012,CUST000445,NET_BANKING,View_Balance,2026-01-12 17:07:11
EVT0000013,CUST002145,NET_BANKING,INITIATE_TRANSFER,2026-05-12 20:56:43
EVT0000014,CUST003505,mobile_app,INITIATE_TRANSFER,2026-02-09 20:28:12
EVT0000015,CUST002442,Mobile_App,Logout,29-04-2026 23:36
EVT0000016,CUST005081,net_banking,View_Balance,2026-06-11 06:28:18
EVT0000017,CUST002648,net_banking,Login,2026-04-25 20:49:06
EVT0000018,CUST001819,MOBILE_APP,VIEW_BALANCE,29-01-2026 21:32
EVT0000019,CUST000963,MOBILE_APP,LOGOUT,11/01/2026 03:13:28
EVT0000020,CUST004092,MOBILE APP,LOGOUT,11/06/2026 16:19:10
EVT0000021,CUST004173,NET_BANKING,login,2026-07-30 20:27:20
EVT0000022,CUST000541,mobile_app,INITIATE_TRANSFER,2026-04-15 15:23:11
EVT0000023,CUST004882,Mobile_App,initiate_transfer,20/07/2026 02:30:47
EVT0000024,CUST002594,mobile_app,INITIATE_TRANSFER,11-05-2026 14:06
EVT0000025,CUST003021,NET BANKING,LOGIN,
EVT0000026,CUST004984,mobile_app,LOGOUT,2026-07-10 18:19:32
EVT0000027,CUST002984,Net_Banking,LOGIN ,01/07/2026 03:51:13
EVT0000028,CUST000752,NET_BANKING,LOGOUT,2026-03-30 00:08:32
EVT0000029,CUST000026,NET_BANKING,LOGIN,11-03-2026 09:22
EVT0000030,CUST002258,MOBILE_APP,Logout,24-07-2026 07:21
EVT0000031,CUST002179,Mobile_App,INITIATE_TRANSFER,09-07-2026 15:36
EVT0000032,CUST000055,NET_BANKING,initiate_transfer,28/03/2026 23:45:38
EVT0000033,CUST002109,Mobile_App,LOGIN ,13/01/2026 00:45:10
EVT0000034,CUST001450,MOBILE_APP,logout,2026-01-11 21:42:05
EVT0000035,CUST001089,NET BANKING, LOGOUT,2026-04-26 20:38:07
EVT0000036,CUST004121,NET BANKING,login,03/10/2026 02:59 AM
EVT0000037,CUST005172,MOBILE_APP,INITIATE_TRANSFER,04/22/2026 01:17 PM
EVT0000038,CUST004615,MOBILE_APP,login,2026-06-12 03:49:28
EVT0000039,CUST004819,MOBILE_APP,VIEW_BALANCE,2026-04-30 19:48:19
EVT0000040,CUST002820,MOBILE APP,VIEW_BALANCE,2026-07-22 11:36:48
EVT0000041,CUST004211,Mobile_App,INITIATE_TRANSFER,24-04-2026 11:12
EVT0000042,CUST001896,Net_Banking,LOGOUT,2026-04-25 09:22:42
EVT0000043,CUST004664,Net_Banking,VIEW_BALANCE,01/28/2026 07:36 AM
EVT0000044,CUST001356,MOBILE APP,INITIATE_TRANSFER,15-06-2026 07:17
EVT0000045,CUST004316,net_banking,VIEW_BALANCE,2026-05-25 06:02:43
EVT0000046,CUST004798,NET_BANKING,Initiate_Transfer,2026-01-08 11:37:19
EVT0000047,CUST004472,MOBILE_APP,LOGIN,2026-04-19 00:59:06
EVT0000048,CUST001541,MOBILE APP,Login,2026-03-28 12:58:48
EVT0000049,CUST002259,Net_Banking,INITIATE_TRANSFER,21-06-2026 11:55
EVT0000050,CUST001588,MOBILE_APP,initiate_transfer,2026-06-24 06:19:11
EVT0000051,CUST003044,mobile_app,Initiate_Transfer,06-02-2026 02:27
EVT0000052,CUST004569,Net_Banking,view_balance,2026-02-14 04:01:32
EVT0000053,CUST003963,MOBILE_APP,View_Balance,08-02-2026 08:58
EVT0000054,CUST002600,mobile_app,INITIATE_TRANSFER,07-01-2026 01:22
EVT0000055,CUST000086,MOBILE APP,VIEW_BALANCE,17-04-2026 02:30
EVT0000056,CUST003820,NET_BANKING,LOGIN ,30-07-2026 11:12
EVT0000057,CUST004720,MOBILE_APP,LOGOUT,2026-07-23 06:23:06
EVT0000058,CUST002732,Net_Banking,login,2026-01-27 03:39:36
EVT0000059,CUST003868,MOBILE APP,logout,2026-07-27 18:12:27
EVT0000060,CUST004510,MOBILE_APP,INITIATE_TRANSFER,2026-05-23 02:31:04
EVT0000061,CUST000495,Mobile_App,INITIATE_TRANSFER,2026-01-08 00:55:45
EVT0000062,CUST004568,NET_BANKING,LOGIN,07/10/2026 08:45 AM
EVT0000063,CUST001636,NET BANKING,INITIATE_TRANSFER,06/06/2026 19:28:28
EVT0000064,CUST003753,mobile_app,INITIATE_TRANSFER,02/06/2026 10:50 AM
EVT0000065,CUST002353,mobile_app, LOGOUT,2026-06-29 09:08:26
EVT0000066,CUST005196,net_banking,login,2026-04-24 12:13:34
EVT0000067,CUST001380,NET_BANKING, LOGOUT,2026-03-15 10:32:21
EVT0000068,CUST002421,net_banking,,03/06/2026 20:10:45
EVT0000069,CUST003462,MOBILE APP,View_Balance,2026-05-19 15:01:45
EVT0000070,CUST000974,MOBILE APP,INITIATE_TRANSFER,2026-06-22 18:36:09
EVT0000071,CUST000330,net_banking,INITIATE_TRANSFER,2026-07-13 07:30:57
EVT0000072,CUST003743,NET_BANKING,Initiate_Transfer,01/24/2026 02:18 PM
EVT0000073,CUST004232,MOBILE_APP,View_Balance,21/06/2026 16:59:20
EVT0000074,CUST004743,net_banking,INITIATE_TRANSFER,02/02/2026 17:54:25
EVT0000075,CUST003515,mobile_app,LOGIN,2026-06-23 18:13:53
EVT0000076,CUST004348,MOBILE_APP,LOGOUT,2026-06-21 00:13:53
EVT0000077,CUST002589,Mobile_App,Initiate_Transfer,18/01/2026 06:06:45
EVT0000078,CUST004699,MOBILE_APP,view_balance,13/04/2026 12:50:43
EVT0000079,CUST001511,Net_Banking,LOGIN ,11-02-2026 21:20
EVT0000080,CUST001000,MOBILE_APP,VIEW_BALANCE,2026-02-10 15:17:48
EVT0000081,CUST004512,MOBILE_APP,Initiate_Transfer,21/02/2026 06:30:36
EVT0000082,CUST004908,NET BANKING,LOGIN ,2026-04-19 19:06:46
EVT0000083,CUST002449,net_banking,VIEW_BALANCE,2026-07-28 15:27:01
EVT0000084,CUST001353,NET_BANKING,initiate_transfer,2026-07-08 12:14:18
EVT0000085,CUST004459,NET_BANKING,logout,2026-02-28 07:18:51
EVT0000086,CUST000575,NET_BANKING,View_Balance,14/02/2026 13:01:29
EVT0000087,CUST003355,mobile_app,LOGIN,05-06-2026 06:28
EVT0000088,CUST001336,NET_BANKING,initiate_transfer,2026-01-08 04:59:24
EVT0000089,CUST000569,NET_BANKING,View_Balance,12-03-2026 16:28
EVT0000090,CUST002434,Mobile_App,Logout,02-06-2026 22:37
EVT0000091,CUST004027,Mobile_App,LOGOUT,2026-03-23 00:49:35
EVT0000092,CUST004665,NET_BANKING,Login,2026-02-25 04:38:36
EVT0000093,CUST002360,net_banking,login,2026-03-19 15:46:52
EVT0000094,CUST005136,Mobile_App,LOGIN,30-06-2026 00:37
EVT0000095,CUST001893,net_banking,VIEW_BALANCE,2026-03-16 10:22:57
EVT0000096,CUST004618,NET_BANKING,View_Balance,2026-07-10 02:09:20
EVT0000097,CUST002436,MOBILE_APP,initiate_transfer,2026-02-07 18:35:30
EVT0000098,CUST000407,Mobile_App,INITIATE_TRANSFER,2026-04-14 08:09:34
EVT0000099,CUST002980,Net_Banking,LOGOUT,31/01/2026 20:58:45
EVT0000100,CUST000738,MOBILE_APP,View_Balance,2026-07-11 21:13:31
EVT0000101,CUST003910,NET BANKING,logout,2026-04-19 20:44:47
EVT0000102,CUST003090,net_banking,LOGIN,2026-07-18 05:20:49
EVT0000103,CUST002281,MOBILE_APP,VIEW_BALANCE,10-04-2026 08:43
EVT0000104,CUST001113,Net_Banking,VIEW_BALANCE,2026-02-06 22:15:25
EVT0000105,CUST004209,Mobile_App,LOGIN,2026-07-15 00:55:30
