customer_id,age_group,region,branch_code,registration_date
CUST000001,18-25,South,BR0014,13-12-2016
CUST000002,18-25,N,BR0084,27-01-2025
CUST000003,18-25,east,BR0098,2017-03-03
CUST000004,41-60,NORTH ,BR0038,10-02-2023
CUST000005,18 - 25,EAST,BR0111,2023-03-08
CUST000006,41 - 60,N,BR0069,2023-07-06
CUST000007,26 - 40,North,BR0104,09/25/2019
CUST000008,41-60, WEST ,BR0018,22-11-2020
CUST000009,60+,S,BR0097,03/08/2018
CUST000010,18_25,W,BR0071,27-07-2017
CUST000011,41 - 60,EAST ,BR0001,11/27/2020
CUST000012,18 - 25,South,BR0021,05-01-2015
CUST000013,18-25,East,BR0113,25/11/2025
CUST000014,26-40,south,BR0078,06-07-2019
CUST000015,41_60,WEST,BR0009,
CUST000016,18-25,north,BR0031,19-12-2017
CUST000017,60+,West,BR0085,22/06/2025
CUST000018,18-25,EAST,BR0025,2019-02-12
CUST000019,18_25,NORTH,BR0070,2020-04-20
CUST000020,26_40,,BR0050,2025-03-16
CUST000021,60+,SOUTH,BR0070,15-02-2016
CUST000022,26-40,North,BR0009,09/09/2017
CUST000023, 18-25 ,east,BR0092,08-12-2017
CUST000024,,NORTH,BR0065,17/07/2016
CUST000025,26_40,E,br0104,09/18/2021
CUST000026,26-40,N,BR0037,26-07-2019
CUST000027,60+,NORTH,br0107,07-12-2017
CUST000028, 60+,NORTH,BR0114,23/10/2015
CUST000029,26_40,east,BR0102,2023-01-10
CUST000030,18-25,W,BR0119,21/12/2018
CUST000031,41_60,south,BR0090,2025-07-22
CUST000032,60+,South,BR0025,07/22/2016
CUST000033,60 +,EAST,BR0034,2020-12-14
CUST000034,41 - 60,W,BR0015,2020-09-17
CUST000035,26-40,E,BR0109,2026-05-17
CUST000036,60 +,South,BR0049,2021-10-01
CUST000037,41-60,EAST ,BR0087,22-10-2018
CUST000038,41-60,south,BR0026,28-08-2025
CUST000039,60_plus, SOUTH,BR0032,23/05/2017
CUST000040,60+,NORTH ,BR0060,02/12/2022
CUST000041, 60+, SOUTH,BR0097,13-11-2025
CUST000042,18 - 25,east,BR0070,04-08-2023
CUST000043,18_25, WEST ,BR0107,10/06/2015
CUST000044,,east,BR0110,2019-12-12
CUST000045,60+,West,BR0118,08/09/2015
CUST000046,18-25, SOUTH,BR0034,2022-05-01
CUST000047,41_60,,BR0070,11-01-2020
CUST000048,18-25,SOUTH,BR0031,2019-11-21
CUST000049,41-60,North,BR0014,2023-06-02
CUST000050, 18-25 ,SOUTH,BR0039,18/09/2017
CUST000051,18-25,EAST,,03/06/2024
CUST000052,41 - 60,West,BR0094,2025-11-04
CUST000053,41-60,north,BR0032,2023-07-02
CUST000054,41-60,east,BR0113,2015-03-25
CUST000055,26 - 40, SOUTH,BR0063,2021-08-07
CUST000056,41 - 60,W,BR0055,22-11-2022
CUST000057,41-60,south,BR0069,2019-04-19
CUST000058,41-60,East,,2017-11-02
CUST000059,41 - 60,WEST,BR0074,2022-08-23
CUST000060,60+, WEST ,BR0081,2021-10-25
CUST000061, 60+,S,BR0117,2024-08-13
CUST000062,18-25,EAST,BR0023,2024-02-29
CUST000063,41-60,EAST ,BR0030,2019-06-09
CUST000064,26-40,NORTH,BR0040,2021-06-22
CUST000065,41 - 60,E,BR0057,09-09-2024
CUST000066,18-25,north,BR0098,12/01/2024
CUST000067,60 +,NORTH ,BR0043,2018-08-10
CUST000068,41 - 60,NORTH ,BR0033,25/01/2024
CUST000069,18 - 25, WEST ,BR0067,30/11/2024
CUST000070,26-40,WEST,BR0081,2018-07-21
CUST000071,60+,NORTH ,BR0083,2021-07-18
CUST000072,60_plus, SOUTH,BR0077,2016-07-25
CUST000073,60+,EAST,BR0039,25/12/2025
CUST000074,60+, WEST ,BR0112,2023-08-04
CUST000075,18-25, WEST ,BR0102,02/09/2026
CUST000076,41-60,WEST,BR0059,2018-06-18
CUST000077,41-60,WEST,BR0110,07-02-2022
CUST000078, 60+,North,BR0118,2017-01-10
CUST000079,18_25,EAST,BR0102,2024-08-29
CUST000080,26-40,W,BR0064,05-05-2025
CUST000081,18_25,SOUTH,BR0045,07-07-2024
CUST000082,41-60,WEST,BR0074,2021-08-15
CUST000083,,N,BR0107,29-02-2020
CUST000084, 26-40,SOUTH,BR0083,01-10-2015
CUST000085,18-25,West,BR0101,04/03/2026
CUST000086,41_60,east,BR0060,23/01/2020
CUST000087, 60+,WEST,BR0016,17-11-2020
CUST000088,41-60,WEST,BR0072,01-06-2016
CUST000089,41 - 60,SOUTH,BR0039,07/04/2020
CUST000090,60+,W,BR0020,22-12-2025
CUST000091,41-60, SOUTH,BR0031,2023-03-29
CUST000092,41-60,SOUTH,BR0106,2015-06-24
CUST000093, 26-40,S,BR0112,2015-01-24
CUST000094, 26-40,SOUTH,BR0004,03-05-2020
CUST000095,41-60,W,BR0009,06-07-2026
CUST000096, 26-40,EAST ,BR0004,2024-01-04
CUST000097,60+,E,BR0017,2022-04-17
CUST000098,41_60,WEST,BR0015,2019-10-28
CUST000099,60+, WEST ,BR0041,05/25/2023
CUST000100,60+,NORTH,BR0096,06-05-2016
CUST000101,41 - 60,EAST ,BR0093,2022-01-03
CUST000102,26-40,SOUTH,BR0072,27/01/2020
CUST000103, 18-25 ,EAST,BR0090,2022-11-15
CUST000104,60+,NORTH,BR0028,2018-07-13
CUST000105,18-25,NORTH,BR0085,2024-04-15
CUST000106,18-25,E,BR0086,2016-03-24
CUST000107,26-40,east,BR0064,2023-07-12
CUST000108,41-60,,BR0118,17-08-2024
CUST000109,60+,north,BR0080,2023-02-12
CUST000110,26_40,NORTH ,BR0096,2018-10-09
CUST000111,26-40,South,BR0033,2016-09-09
CUST000112,60_plus,W,BR0080,2022-02-02
CUST000113,60 +,E,BR0065,2015-11-05
CUST000114,18 - 25,N,BR0050,2015-12-03
CUST000115,26-40,SOUTH,BR0104,2016-11-21
CUST000116,26 - 40,W,BR0021,2023-09-09
CUST000117,18 - 25,north,BR0087,2018-05-16
CUST000118,26-40,West,BR0011,14/05/2022
CUST000119,18 - 25,EAST,BR0024,2025-11-27
CUST000120,26-40,N,BR0107,21/07/2022
CUST000121,60+, SOUTH,BR0047,17-12-2024
CUST000122,60+,EAST ,BR0025,2024-11-18
CUST000123, 60+,South,BR0018,11/10/2025
CUST000124,18 - 25,north,BR0021,22/04/2018
CUST000125,26_40,NORTH ,BR0065,2016-10-30
CUST000126,18 - 25,South,BR0118,10/02/2018
CUST000127,,South,BR0094,2021-06-18
CUST000128,26_40,WEST,BR0116,23-07-2026
CUST000129,,East,BR0024,2023-02-02
CUST000130,18_25,NORTH ,BR0033,2016-07-07
CUST000131, 18-25 ,East,BR0070,06/03/2025
CUST000132,26-40,WEST,BR0006,01/29/2022
CUST000133,60+,south,BR0100,2021-02-16
CUST000134,60 +,west,BR0064,24/12/2020
CUST000135,18_25,S,BR0014,2021-11-15
CUST000136,26 - 40,WEST,BR0117,27-02-2021
CUST000137,18-25,west,BR0096,15/03/2018
CUST000138,60+,south,BR0073,02/02/2025
CUST000139, 18-25 ,EAST ,BR0036,2019-03-05
CUST000140,18-25,West,BR0037,2019-06-28
CUST000141,60+,WEST,BR0109,2016-06-15
CUST000142,41-60,south,BR0016,23/04/2020
CUST000143,41_60,S,BR0009,2025-09-26
CUST000144,18-25,NORTH ,BR0067,30/01/2019
CUST000145,18-25,East,BR0120,15/05/2021
CUST000146,41-60,N,BR0076,28/07/2022
CUST000147,18-25,East,BR0054,30-06-2021
CUST000148,26 - 40,WEST,BR0021,2019-07-30
CUST000149,41 - 60,EAST ,BR0048,2020-06-03
CUST000150,26-40,EAST ,BR0054,01/08/2018
CUST000151,41-60,W,BR0113,2023-10-27
