transaction_id,customer_id,payment_channel,transaction_amount,transaction_status,transaction_timestamp
TXN0000001,CUST000682,Neft,1207.2,Success,2026-05-18 21:32:17
TXN0000002,CUST003529,IMPS,563.45,SUCCESS,30/05/2026 14:28:41
TXN0000003,CUST002882,upi,502.21,success,28-07-2026 21:45
TXN0000004,CUST004095,BILL_PAY,502.22,FAILED,12/05/2026 16:54:24
TXN0000005,CUST004027,Imps,4425.13,Success,21/06/2026 14:45:38
TXN0000006,CUST001230,bill_pay,1670.57,TIMED_OUT,24/03/2026 13:31:29
TXN0000007,CUST002527,Imps,-378.66,Success,02/12/2026 06:24 AM
TXN0000008,CUST004172,IMPS,"Rs.1,275.47",SUCCESS,2026-01-13 05:54:58
TXN0000009,CUST002321,Bill_Pay,889.23,SUCCESS,19-06-2026 04:40
TXN0000010,CUST002760,BILL_PAY,66.96,Success,2026-03-08 14:44:31
TXN0000011,CUST002609,UPI,197.28,SUCCESS,2026-06-03 00:10:40
TXN0000012,CUST003827,IMPS,969.81,SUCCESS,14-05-2026 14:36
TXN0000013,CUST004329,BILL_PAY,,SUCCESS,03/02/2026 10:28 PM
TXN0000014,CUST002178,Neft,507.28,SUCCESS,2026-07-21 01:33:20
TXN0000015,CUST003030,imps,Rs.346.10,SUCCESS,06-03-2026 20:40
TXN0000016,CUST003721,NEFT,759.84,success,2026-04-14 19:35:55
TXN0000017,CUST003825,NEFT,323.51,SUCCESS,04-05-2026 02:25
TXN0000018,CUST001585,UPI,,Success,21-01-2026 20:37
TXN0000019,CUST001115,upi,654.46,SUCCESS,2026-02-08 17:53:40
TXN0000020,CUST000972,imps,186.93,FAILED,13-02-2026 03:26
TXN0000021,CUST001378,,1784.79,success,01/18/2026 05:41 AM
TXN0000022,CUST004628,imps,153.7,Success,2026-07-12 02:09:49
TXN0000023,CUST001188,BILL_PAY,135.12,TIMED_OUT,10-03-2026 05:00
TXN0000024,CUST000517,,842.38,Success,29-05-2026 23:05
TXN0000025,CUST002244,IMPS,"1,613.50",SUCCESS,2026-07-10 07:41:15
TXN0000026,CUST001403,Imps,817.0,success,2026-06-18 13:34:17
TXN0000027,CUST002692,Upi,578.95,SUCCESS,17/03/2026 09:14:43
TXN0000028,CUST002408,BILL_PAY,463.44,Success,2026-04-12 21:35:46
TXN0000029,CUST000715,UPI,382.69,SUCCESS,2026-04-18 14:49:59
TXN0000030,CUST003511,NEFT,2365.03,,05/12/2026 03:25 PM
TXN0000031,CUST003959,Neft,981.32,Success,2026-01-26 03:37:40
TXN0000032,CUST004429,UPI,419.01,TIMED_OUT,2026-02-22 22:42:18
TXN0000033,CUST002478,BILL_PAY,295.21,SUCCESS,2026-07-03 00:34:11
TXN0000034,CUST000728,BILL_PAY,1385.77,SUCCESS,22-06-2026 01:22
TXN0000035,CUST004307,bill_pay,2292.04,SUCCESS,06/15/2026 11:46 PM
TXN0000036,CUST001908,NEFT,2033.55,Success,2026-03-12 21:49:38
TXN0000037,CUST002624,BILL_PAY,242.97,FAILED,05-04-2026 07:56
TXN0000038,CUST004108,IMPS,458.95,success,01/04/2026 12:10 PM
TXN0000039,CUST000577,Imps,374.28,success,2026-06-24 02:00:25
TXN0000040,CUST000004,NEFT,532.3,SUCCESS,2026-01-26 11:18:20
TXN0000041,CUST003892,UPI,"Rs.1,763.46",FAILED,2026-02-04 00:41:15
TXN0000042,CUST005020,bill_pay,3386.28,success,26-02-2026 12:26
TXN0000043,CUST001095,Imps,"1,026.55",Success,03-05-2026 19:09
TXN0000044,CUST004726,UPI,306.70,SUCCESS,2026-06-29 18:45:51
TXN0000045,CUST004352,Neft,637.15,SUCCESS,2026-07-15 05:32:48
TXN0000046,CUST002088,Bill_Pay,4348.44,success,2026-05-26 23:10:56
TXN0000047,CUST003892,NEFT,738.38,SUCCESS,2026-06-27 03:41:32
TXN0000048,CUST001002,imps,464.61,success,2026-04-10 15:43:23
TXN0000049,CUST001204,upi,511.01,SUCCESS,2026-01-20 23:18:10
